Open,Close,High,Low,Volume,Time
1097.28,1096.4399,1102.77,1091.76,,2004-05-13
1096.4399,1095.7,1102.1,1088.24,,2004-05-14
1095.7,1084.1,1095.7,1079.36,,2004-05-17
1084.1,1091.49,1094.1,1084.1,,2004-05-18
1091.49,1088.6801,1105.9301,1088.49,,2004-05-19
1088.6801,1089.1899,1092.62,1085.4301,,2004-05-20
1089.1899,1093.5601,1099.64,1089.1899,,2004-05-21
1093.5601,1095.41,1101.28,1091.77,,2004-05-24
1095.41,1113.0501,1113.8001,1090.74,,2004-05-25
1113.0501,1114.9399,1116.71,1109.91,,2004-05-26
1114.9399,1121.28,1123.95,1114.86,,2004-05-27
1121.28,1120.6801,1122.6899,1118.1,,2004-05-28
1120.6801,1121.2,1122.7,1113.32,,2004-06-01
1121.2,1124.99,1128.1,1118.64,,2004-06-02
1124.99,1116.64,1125.3101,1116.57,,2004-06-03
1116.64,1122.5,1129.17,1116.64,,2004-06-04
1122.5,1140.42,1140.54,1122.5,,2004-06-07
1140.42,1142.1801,1142.1801,1135.45,,2004-06-08
1142.1801,1131.33,1142.1801,1131.17,,2004-06-09
1131.33,1136.47,1136.47,1131.33,,2004-06-10
1136.47,1125.29,1136.47,1122.16,,2004-06-14
1125.29,1132.01,1137.36,1125.29,,2004-06-15
1132.01,1133.5601,1135.28,1130.5501,,2004-06-16
1133.5601,1132.0501,1133.5601,1126.89,,2004-06-17
1132.0501,1135.02,1138.96,1129.83,,2004-06-18
1135.02,1130.3001,1138.0501,1129.64,,2004-06-21
1130.3001,1134.41,1135.0501,1124.37,,2004-06-22
1134.41,1144.0601,1145.15,1131.73,,2004-06-23
1144.0601,1140.65,1146.34,1139.9399,,2004-06-24
1140.65,1134.4301,1145.97,1134.24,,2004-06-25
1134.4301,1133.35,1142.6,1131.72,,2004-06-28
1133.35,1136.2,1138.26,1131.8101,,2004-06-29
1136.2,1140.84,1144.2,1133.62,,2004-06-30
1140.84,1128.9399,1140.84,1123.0601,,2004-07-01
1128.9399,1125.38,1129.15,1123.26,,2004-07-02
