Open,Close,High,Low,Adj_Close,Volume,Time
0.00,100.81,102.19,100.38,100.81,100.81,"Oct 12, 1976"
0.00,101.64,102.48,100.98,101.64,101.64,"Oct 11, 1976"
0.00,102.56,104.00,102.24,102.56,102.56,"Oct 08, 1976"
0.00,103.54,103.90,102.16,103.54,103.54,"Oct 07, 1976"
0.00,102.97,103.72,102.05,102.97,102.97,"Oct 06, 1976"
0.00,103.23,104.25,102.51,103.23,103.23,"Oct 05, 1976"
0.00,104.03,104.62,103.42,104.03,104.03,"Oct 04, 1976"
0.00,104.17,105.75,103.60,104.17,104.17,"Oct 01, 1976"
0.00,105.24,105.84,104.57,105.24,105.24,"Sep 30, 1976"
0.00,105.37,106.45,104.83,105.37,105.37,"Sep 29, 1976"
0.00,105.92,107.54,105.61,105.92,105.92,"Sep 28, 1976"
0.00,107.27,107.70,106.35,107.27,107.27,"Sep 27, 1976"
0.00,106.80,107.36,106.03,106.80,106.80,"Sep 24, 1976"
0.00,106.92,107.96,106.40,106.92,106.92,"Sep 23, 1976"
0.00,107.46,108.72,106.92,107.46,107.46,"Sep 22, 1976"
0.00,107.83,108.13,106.09,107.83,107.83,"Sep 21, 1976"
0.00,106.32,107.20,105.74,106.32,106.32,"Sep 20, 1976"
0.00,106.27,106.81,105.14,106.27,106.27,"Sep 17, 1976"
0.00,105.34,105.59,103.84,105.34,105.34,"Sep 16, 1976"
0.00,104.25,104.70,103.28,104.25,104.25,"Sep 15, 1976"
0.00,103.94,104.50,103.31,103.94,103.94,"Sep 14, 1976"
0.00,104.29,105.29,103.88,104.29,104.29,"Sep 13, 1976"
0.00,104.65,105.03,103.79,104.65,104.65,"Sep 10, 1976"
0.00,104.40,105.12,103.91,104.40,104.40,"Sep 09, 1976"
0.00,104.94,105.73,104.34,104.94,104.94,"Sep 08, 1976"
0.00,105.03,105.31,103.93,105.03,105.03,"Sep 07, 1976"
0.00,104.30,104.63,103.36,104.30,104.30,"Sep 03, 1976"
0.00,103.92,104.84,103.47,103.92,103.92,"Sep 02, 1976"
0.00,104.06,104.30,102.60,104.06,104.06,"Sep 01, 1976"
0.00,102.91,103.38,101.94,102.91,102.91,"Aug 31, 1976"
0.00,102.07,102.51,101.22,102.07,102.07,"Aug 30, 1976"
0.00,101.48,101.90,100.55,101.48,101.48,"Aug 27, 1976"
0.00,101.32,102.59,101.01,101.32,101.32,"Aug 26, 1976"
0.00,102.03,102.41,100.43,102.03,102.03,"Aug 25, 1976"
0.00,101.27,102.65,100.98,101.27,101.27,"Aug 24, 1976"
0.00,101.96,102.49,101.04,101.96,101.96,"Aug 23, 1976"
0.00,102.37,103.31,101.96,102.37,102.37,"Aug 20, 1976"
0.00,103.39,104.74,103.01,103.39,103.39,"Aug 19, 1976"
0.00,104.56,105.41,104.12,104.56,104.56,"Aug 18, 1976"
0.00,104.80,105.25,103.98,104.80,104.80,"Aug 17, 1976"
0.00,104.43,104.99,103.74,104.43,104.43,"Aug 16, 1976"
